epoch,lr-Adam/non-decayable,lr-Adam/normal,n_learnable_parameters,n_parameters,offset/C,step,test/train/energy_mae,test/train/energy_rmse,test/train/forces_mae,test/train/forces_rmse,test/train/forces_rmse_batchwise,test/train/per_atom_energy_mae,test/train/per_atom_energy_rmse,test/train/stress_mae,test/train/stress_rmse,test/train/virial_mae,test/train/virial_rmse,test/valid/energy_mae,test/valid/energy_rmse,test/valid/forces_mae,test/valid/forces_rmse,test/valid/forces_rmse_batchwise,test/valid/per_atom_energy_mae,test/valid/per_atom_energy_rmse,test/valid/stress_mae,test/valid/stress_rmse,test/valid/virial_mae,test/valid/virial_rmse,timer/its_per_s/train,timer/its_per_s/valid,timer/step_duration_ms/train,timer/step_duration_ms/valid,train/loss/forces_rmse_batchwise_weighted,train/loss/per_atom_energy_rmse_batchwise_weighted,train/loss/total,train/metrics/forces_rmse_batchwise,train/metrics/per_atom_energy_rmse_batchwise,valid/loss/forces_rmse_batchwise_weighted,valid/loss/per_atom_energy_rmse_batchwise_weighted,valid/loss/total,valid/metrics/energy_mae,valid/metrics/energy_rmse,valid/metrics/forces_mae,valid/metrics/forces_rmse,valid/metrics/forces_rmse_batchwise,valid/metrics/per_atom_energy_mae,valid/metrics/per_atom_energy_rmse,valid/metrics/per_atom_energy_rmse_batchwise,valid/metrics/stress_mae,valid/metrics/stress_rmse,valid/metrics/virial_mae,valid/metrics/virial_rmse
,,,,,-7.099610805511475,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,0.2940455675125122,,3498.0,,,,,,0.6234551668167114,0.0703703835606575,0.7561945915222168,1.2373063564300537,1.9190564155578613,0.4751518964767456,0.6673800945281982,0.6234551668167114,0.04340643808245659,0.07416172325611115,0.0703703835606575,0.017601225525140762,0.03398482874035835,6.069090366363525,11.940153121948242
,0.0001,0.0001,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099742412567139,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,0.35057276487350464,,3113.5,,,,,,0.6214851140975952,0.06880036741495132,0.7526785731315613,1.3014795780181885,1.8127045631408691,0.4732300639152527,0.665573000907898,0.6214851140975952,0.045635320246219635,0.07421129196882248,0.06880036741495132,0.017973359674215317,0.03471911698579788,6.268041133880615,12.519735336303711
,0.0001,0.0001,,,,260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099660396575928,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,269,,,,,,,,,,,,,,,,,,,,,,,,0.2854843735694885,,3707.0,,,,,,0.6192917227745056,0.07074932754039764,0.7522390484809875,1.275718092918396,2.0115244388580322,0.47155487537384033,0.6632581949234009,0.6192917227745056,0.04420013353228569,0.07420141249895096,0.07074932754039764,0.017695624381303787,0.034208379685878754,6.166499137878418,12.26004695892334
,0.0001,0.0001,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099783897399902,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,,,,,279,,,,,,,,,,,,,,,,,,,,,,,,0.3398545980453491,,3314.5,,,,,,0.6185594797134399,0.06864875555038452,0.7492727041244507,1.1996450424194336,1.6429617404937744,0.47093871235847473,0.6623920202255249,0.6185594797134399,0.045462559908628464,0.07332442700862885,0.06864875555038452,0.018171263858675957,0.03509383648633957,6.370931148529053,12.737358093261719
,0.0001,0.0001,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.09973669052124,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,,,,,289,,,,,,,,,,,,,,,,,,,,,,,,0.27315133810043335,,3978.0,,,,,,0.6161708235740662,0.07047047466039658,0.7486027479171753,1.2179231643676758,1.8937302827835083,0.46901935338974,0.6600208878517151,0.6161708235740662,0.04384312778711319,0.07427208125591278,0.07047047466039658,0.01797877624630928,0.034612078219652176,6.299134731292725,12.541755676269531
,0.0001,0.0001,,,,290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,0.12938284873962402,,7729.0,,0.8815514445304871,0.05853986367583275,0.9400913119316101,0.8815514445304871,0.05853986367583275,,,,,,,,,,,,,,,
,,,,,-7.0998430252075195,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,,,,,299,,,,,,,,,,,,,,,,,,,,,,,,0.27975383400917053,,3695.5,,,,,,0.6151825785636902,0.06936383247375488,0.7463573217391968,1.270869255065918,1.8227654695510864,0.4682038426399231,0.6588923335075378,0.6151825785636902,0.044850826263427734,0.07475734502077103,0.06936383247375488,0.017525333911180496,0.03371359780430794,6.1456685066223145,12.272303581237793
,0.0001,0.0001,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.0998640060424805,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,309,,,,,,,,,,,,,,,,,,,,,,,,0.3170431852340698,,3327.5,,,,,,0.6136680245399475,0.06933815777301788,0.744764506816864,1.140033483505249,1.6977914571762085,0.4672079384326935,0.6574065089225769,0.6136680245399475,0.04354681819677353,0.07439716905355453,0.06933815777301788,0.017355702817440033,0.03325137123465538,6.07720422744751,12.051630973815918
,0.0001,0.0001,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-7.099849700927734,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
